[00:00.000 --> 00:02.000]  We've got it
[38:07.280 --> 38:12.080]  of robotics and the future and claiming that humans are hurting the earth or do we give people
[38:12.080 --> 38:19.520]  little mindless games and fake jobs and a fake civilization to live in and he says that's the
[38:19.520 --> 38:27.600]  debate we're having right now and i've read similar white papers and similar articles
[38:27.600 --> 38:33.040]  hundreds of times from the establishment and then i try to have a discussion with my listeners at
[38:33.040 --> 38:39.840]  an adult level from the perspective of what the people running this planet are really discussing
[38:39.840 --> 38:46.240]  discussing in fact we can we can just type in alzheimer's television and it'll bring up the
[38:46.240 --> 38:50.800]  bbc just alzheimer's television and then we can also type in why the future doesn't need us we'll
[38:50.800 --> 38:55.440]  show people both those i think people are listening on the radio they go you'll show us both
[38:55.440 --> 39:00.160]  yes at prison planet.tv we're streaming video and there's a little free video function at
[39:00.160 --> 39:05.280]  info wars.com you want to watch it there but you can do this this is interactive radio this is
[39:05.280 --> 39:14.160]  meant really that this show is designed around radio the the video side of it is just a small
[39:14.160 --> 39:23.280]  outgrowth yeah that's not the article man jailed for sharing his father's industrial
[39:24.080 --> 39:30.880]  composition just did you just type alzheimer's television just alzheimer's tv and boom it's
[39:30.880 --> 39:35.360]  right there at least at least it was like a month ago or have you typed in why the future doesn't
[39:35.360 --> 39:40.560]  need us it's wired magazine april issue 1999 you can pull it up right there
[39:44.480 --> 39:49.680]  did you click web or did you click news yeah you don't click web because it's old
[39:49.680 --> 39:59.680]  new stuffs you click news old stuff you click web there it is bbc top link
[40:01.680 --> 40:05.200]  new stuff you click news is the other way around
[40:07.280 --> 40:15.600]  new stuff you click news old stuff you click web when you're using this nsa search engine google
[40:15.600 --> 40:22.960]  so there it is tv's link to alzheimer's okay uh here is the next one why the future doesn't need
[40:22.960 --> 40:24.240]  us bill joy
[40:29.680 --> 40:35.120]  it's why the future doesn't need us i believe it's april 1999 we'll see if i'm accurate in my memory
[40:35.920 --> 40:44.400]  so yeah there it is why the future doesn't need us bill joy april 2000 oh see my
[40:44.400 --> 40:50.720]  little primitive electrochemical computer failed you get little glitches like that
[40:53.520 --> 40:55.120]  a group glitch here
[40:57.040 --> 41:03.040]  hey nobody's bad i'm i'm glad that you guys were going to the i mean how do you know that
[41:04.080 --> 41:07.200]  because radio listeners are listening they're doing the same thing right now
[41:08.000 --> 41:12.480]  and that's important that's like last week you know we we had an article that was linked on
[41:12.480 --> 41:17.680]  drudge at this top story for like a day that uh was dealing with
[41:20.560 --> 41:27.920]  the whole situation with the internet wars that have begun the future of the web the future of
[41:27.920 --> 41:33.600]  technological development uh you know being basically fought out right now and from this
[41:33.600 --> 41:37.600]  point on it's just going to intensify there's always been internet wars but i mean they're
[41:37.600 --> 41:43.920]  really really really kicking now that's the daily bell article that came out a day after ours
[41:44.880 --> 41:53.840]  our article is um the great internet wars have begun but um that's a good article too
[41:57.920 --> 42:05.840]  i mean i don't know it's like i'm supposed to apologize because i'm informed it's like i'm
[42:05.840 --> 42:12.320]  bad because i'm smart i'm bad because i actually study what the global controllers are into
[42:12.320 --> 42:17.520]  and they're into building a giant global prison and then killing us and they say they're going
[42:17.520 --> 42:24.800]  to do it and i'm giving you all the proof of it and uh i'm still the bad guy i mean i would be
[42:24.800 --> 42:31.760]  a great guy if i got up here and i talk about the nfl playoffs people like man he's really manly he
[42:31.760 --> 42:37.440]  he watches something piped into his house and comments on it and and lives through other people
[42:41.280 --> 42:46.320]  but uh we're gonna come back from break and i'm gonna get into the big threats to humanity
[42:46.320 --> 42:51.280]  i'm gonna list just a few of them for you then we'll start the uh second hour
[42:53.280 --> 42:57.120]  and then i will take your phone calls and cover the other news
[42:57.120 --> 43:02.160]  did you ever think you'd be where you are a decade into the 21st century record foreclosure
[43:02.160 --> 43:07.040]  rates for homes if not yours your neighbors thankful for the unemployment check since
[43:07.040 --> 43:13.120]  you were laid off and placing your child's name on the angel tree in hopes of a christmas gift
[43:13.120 --> 43:18.080]  along with thousands of other americans did you ever think your future would feel this out of
[43:18.080 --> 43:24.800]  control the fact is in all this craziness there's only one thing you can control and that's what
[43:24.800 --> 43:31.200]  there's only one thing you can control your greatest dependency your food supply make 2012
[43:31.200 --> 43:37.280]  the year you take control by getting prepared e foods direct introduces the best way to build your
[43:37.280 --> 43:45.440]  food supply in the 21st century get a 21-day supply of food free with purchase call 800-409-5633
[43:45.440 --> 43:53.680]  or go to efoods direct.com forward slash alex take back control in 2012 call 800-409-5633
[43:53.680 --> 43:59.520]  or go to efoods direct.com forward slash alex remember you can bet your life on efoods direct
[44:04.320 --> 44:11.120]  tyranny is here the grim future foretold in 1984 has become reality it really says that the state
[44:11.120 --> 44:16.160]  is god the united states is now recognized globally as one of the most oppressive police
[44:16.160 --> 44:22.160]  states on earth this film conclusively proves the existence of a secret network of fema camps
[44:22.160 --> 44:27.680]  now being expanded nationwide this documentary exposes how the continuity of government program
[44:27.680 --> 44:32.400]  has established an all-powerful shadow state police state four chronicles the sickening
[44:32.400 --> 44:37.760]  depths to which our republic has fallen prepare to enter the secretive world of emergency
[44:37.760 --> 44:44.160]  dictatorship body scanners sound cameras citizen spies stage terror and cameras on every street
[44:44.160 --> 44:50.160]  corner it's only the beginning of the new world order's hellish plan the police state isn't coming
[44:50.160 --> 44:57.440]  it's here secure your copy today at infowars.com or see it online in the highest quality at prison
[44:57.440 --> 45:05.920]  planet.tv when you're out on the road the last place you want to be is on the road
[45:07.120 --> 45:13.280]  but if the unfortunate happens you'll be glad you were wearing diamond gussets there's a place down
[45:13.280 --> 45:23.280]  in tennessee where they make blue diamond gusset jeans they sew pride in every stitch
[45:25.040 --> 45:27.280]  guarantee you love the way they fit
[45:29.280 --> 45:36.880]  they put a diamond gusset in the crotch where you need it most blue diamond gusset's got it
[45:36.880 --> 45:45.120]  others don't we turn jeans inside out diamond gusset jeans made in the usa with unparalleled
[45:45.120 --> 45:50.480]  quality our defender motorcycle jeans combine gusset comfort with kevlar protection so you
[45:50.480 --> 45:58.480]  can ride all day with confidence order yours at gusset.com diamond gusset jeans got it others don't
[45:59.600 --> 46:04.160]  this is alex jones with five good reasons you should consider buying a solar power generator
[46:04.160 --> 46:08.480]  number one new climate legislation could easily double or triple your electric bill
[46:08.480 --> 46:13.600]  number two our new energy czar wants to control how much power your electric company allows you
[46:13.600 --> 46:19.120]  to have it's true total government control of electricity in the name of smart grid technology
[46:19.120 --> 46:24.240]  is coming number three in some areas of the country the power grid is dangerously overloaded
[46:24.240 --> 46:29.520]  and now new socialist legislation is only compounding the problem number four dangerous
[46:29.520 --> 46:34.160]  weather is always a threat to local grids every year thousands of families lose their power from
[46:34.160 --> 46:39.520]  weather related onages number five a solar power generator provides powerful backup insurance and
[46:39.520 --> 46:44.000]  peace of mind folks i really believe in the solar power generators offered by Solutions from Science
[46:44.000 --> 46:49.840]  one of my oldest sponsors you can get more information at www.mysolarbackup.com that's
[46:49.840 --> 46:56.000]  mysolarbackup.com remember the government doesn't own the sun so go to mysolarbackup.com or call
[46:56.000 --> 47:07.680]  1-877-327-0365 coast to coast direct from austin you're listening to the alex jones broadcasting
[47:07.680 --> 47:11.920]  network network
[47:18.640 --> 47:23.040]  leading a frontal assault on the lies of the new world order
[47:23.040 --> 47:30.560]  it's alex jones on the gcn radio network and what is the new world order
[47:31.680 --> 47:36.160]  well it's the ponzi scheme operators that were able to take over the u.s in 1913
[47:38.000 --> 47:44.640]  and many other countries before and after that date and they issue the currency and credit they
[47:44.640 --> 47:50.800]  are god on this planet through fraud through scams through buying off politicians
[47:50.800 --> 47:57.840]  and we've lived under that hoax for so long that did you know that when you hear about your city
[47:57.840 --> 48:05.200]  or county or school district or state's budget that that's a total fraud in the 1930s and 40s
[48:05.200 --> 48:13.680]  the chicago mafia had a 1313 system is what it was called and they would have a double set of books
[48:13.680 --> 48:20.560]  they would have a double set of books and they would through the city of chicago tell the public
[48:20.560 --> 48:27.280]  about the budget but generally about 70 or more of the money was in other accounts they just didn't
[48:27.280 --> 48:32.160]  call it budget and they would have big budgetary discussions about our budgets this our budgets
[48:32.160 --> 48:38.000]  that but in the comprehensive annual financial reports they had all the real investments in the
[48:38.000 --> 48:43.280]  rest of the money and it's the same thing here that's what i'm saying folks it's all completely
[48:43.280 --> 48:50.560]  fake i mean i'm sure you've heard the city of austin's announcing between 30 and 80 rate height
[48:50.560 --> 48:56.080]  increases overall energy globally has gotten cheaper but they don't care they're saying it's
[48:56.080 --> 49:01.440]  for the earth we're going to charge you more no it's for the big power companies that came in and
[49:01.440 --> 49:05.600]  used federal regulators to shut down their competition this is happening all over the
[49:05.600 --> 49:10.960]  country but here in austin it's more egregious because our city council is so mindless and
[49:10.960 --> 49:17.760]  corrupt it's a mixture of both and they're just going to slap these giant rate increases on people
[49:19.040 --> 49:21.840]  people are like well that's the government trying to get a shortfall
[49:23.840 --> 49:28.240]  a small part of it is a budgetary shortfall but you're not looking at all the other accounts
[49:28.240 --> 49:34.240]  that are off the budgetary discussion that no one ever talks about i mean folks if you're a
[49:34.240 --> 49:39.520]  new listener this is big medicine i'm giving you this is the man behind the curtain this is the
[49:39.520 --> 49:45.200]  this is the lottery numbers this is the this is the big kahuna and i hope it's not pearls before
[49:45.200 --> 49:55.120]  swine and it just goes on from there i remember in 2000 the federal government only had a few dozen
[49:55.120 --> 50:01.520]  predator drones when they were saying by 2012 more than half of the air force's
[50:01.520 --> 50:13.040]  force would be drone and i saw a number just two days ago they've now got seven thousand predators
[50:13.040 --> 50:18.400]  alone and they've got all these reapers and all the rest of it and then there's that whole
[50:18.400 --> 50:24.480]  discussion thereof humans aren't even going to be involved in the military soon except for servicing
[50:24.480 --> 50:30.240]  the equipment and so that makes you more detached from war crimes and now they've announced with
[50:30.240 --> 50:35.600]  the nda they'll secretly arrest citizens and bomb any country they want without even talking to
[50:35.600 --> 50:43.600]  congress and the police are using predators and reapers on citizens now for stolen cows or
[50:43.600 --> 50:46.000]  pot grows or whatever the case is
[50:48.480 --> 50:52.320]  america it doesn't even exist anymore the united states was
[50:53.040 --> 50:57.760]  beach headed in 1913 with the federal reserve and has been taken over by the military industrial
[50:57.760 --> 51:03.360]  complex it's self-controlled by the technocratic elite that's the rest of eisenhower's 1960 speech
[51:03.920 --> 51:14.560]  1961 speech it's just totally fake it's totally fake and how do you talk to a public
[51:14.560 --> 51:19.840]  that doesn't know even the three branches of government much less that that's been usurped
[51:19.840 --> 51:26.160]  and that the entire military is going to combat drones in the air combat robots on the ground
[51:27.040 --> 51:30.640]  that the globalists have all these white papers saying soon they'll be able to do whatever they
[51:30.640 --> 51:36.080]  want because they're going to have big enough robot armies to not rely on u.s troops not
[51:36.080 --> 51:45.200]  pulling triggers on citizens there's a giant national security state being built behind a
[51:45.200 --> 51:54.480]  tissue-thin curtain and now they've they've pulled that down and it's staring us right in the face
[51:59.200 --> 52:02.960]  i mean how many years did i tell you that they were going to be using
[52:02.960 --> 52:08.640]  military and police on the streets of america how many years did i tell you before 9 11 there'd be
[52:08.640 --> 52:13.680]  giant terror attacks and i said they'd probably blow up the world trade center by the way that's
[52:13.680 --> 52:19.680]  on record uh even rolling stone new york magazine nightline they've all reported on that that is a
[52:19.680 --> 52:23.760]  fact they didn't believe it they went and checked i said they'll blow up the world trade center blame
[52:23.760 --> 52:28.480]  on their asset bin laden as a pretext to invade this list of countries which were accurate
[52:28.480 --> 52:32.960]  and as a pretext to set up domestic security checkpoints that'll begin in the airports
[52:35.520 --> 52:39.600]  i even said they'd launch a bio attack shortly after the attack on the world trade center
[52:39.600 --> 52:44.880]  and thanks to the adl it's not just me saying that it's on record the adl on september 12th
[52:44.880 --> 52:50.720]  in an article titled what they're saying attacked me and said jones says a bio attack
[52:50.720 --> 52:55.680]  has already been launched why didn't the fbi come and question me
[52:58.320 --> 53:01.040]  i mean how did i know the world trade center was going to be blown up
[53:02.080 --> 53:04.640]  how did i know a bio attack had already been launched
[53:04.640 --> 53:08.480]  you ever think about that
[53:08.480 --> 53:13.920]  you realize what i've done in front of all of you do you realize that i've completely
[53:13.920 --> 53:18.960]  reverse engineered their entire system to the point that i'm at my parents house today
[53:18.960 --> 53:27.040]  and i say disney world is a department of defense laboratory never even seeing that information
[53:27.680 --> 53:32.400]  i knew they were involved in developing biometrics and we're going to have to do that
[53:32.400 --> 53:37.280]  we're going to be developing biometrics and we pulled it up with department of defense white
[53:37.280 --> 53:43.120]  papers and we've put them on screen here today how did i know that because the whole thing's
[53:43.120 --> 53:49.600]  a laboratory president eisenhower warns you i'm not psychic the whole thing's fake
[53:52.560 --> 53:54.000]  the whole thing at the top
[53:54.000 --> 54:01.600]  mid-level and low-level it's not they're not in complete control the matrix is not complete
[54:01.600 --> 54:07.200]  we're not out of the game at the top it's all standardized and the system is trying to get us
[54:07.200 --> 54:14.080]  to basically enter into their totally artificial environment that's why all over the u.s england
[54:14.080 --> 54:20.240]  and canada they're fining people in major cities for backyard gardens if you're a listener just
[54:20.240 --> 54:24.400]  type it into the search engine i'm not kidding but guys type in uh
[54:26.880 --> 54:33.040]  swat team for growing cucumbers you'll get canada you'll also get the u.s because they say
[54:33.040 --> 54:39.040]  in tulsa oklahoma you can't be trusted growing a garden in your backyard it might be drugs
[54:39.040 --> 54:45.120]  you even forbs a few months ago said why are there thousands of raids on lemonade stands
[54:45.120 --> 54:49.600]  why is the federal government obsessed with lemonade stands and giving grants to local
[54:49.600 --> 54:54.560]  police to go after them because your kids have got to be trained everything you do is in a big box
[54:54.560 --> 55:00.400]  store everything you do is in a survey i mean i mean you walk into these box stores disney world
[55:00.400 --> 55:07.520]  cruise ships airports it's cameras hanging every five feet it's data mining it's customer cards
[55:07.520 --> 55:13.120]  tracking everything you do it's total control and i remember the first time i saw a car
[55:13.120 --> 55:22.480]  and i remember 15 years ago reading about all the major safe ways you name it had hidden retina
[55:22.480 --> 55:28.160]  scanners that were tracking the eye as you look at products now it's admitted that it's in most
[55:28.160 --> 55:34.960]  big stores i was even taken by one of the head people off record obviously i wasn't allowed to
[55:34.960 --> 55:40.160]  talk about it they said for one year because they're going to another university into the
[55:40.160 --> 55:42.960]  the into a department of defense laboratory
[55:45.440 --> 55:52.080]  you're like where is that university of texas facility that that psychology department is only
[55:52.080 --> 56:01.840]  a small public building public front for underground bases monkey farms weaponized
[56:01.840 --> 56:05.520]  you name it stuff that'll kill nine out of ten people on your block
[56:05.520 --> 56:12.720]  every department is about brainwashing and how to manipulate men and women and what pheromone to add
[56:12.720 --> 56:17.200]  and what chemical to put in the water i mean it was incredible and i was only shown a small part
[56:17.200 --> 56:24.240]  of it not even the classified stuff i was only showed restricted the person would show me he
[56:24.240 --> 56:28.320]  said well as you know top scientist i'm allowed to show you restricted stuff because it's not
[56:28.320 --> 56:34.000]  classified but i mean i'm not saying they flipped on the classified video
[56:34.000 --> 56:39.200]  feed to those giant labyrinths and those monkeys jacked in looking at those tv screens
[56:39.200 --> 56:44.480]  testing weaponized flicker rates to brain damage you and your family and put you into a mesmerized
[56:44.480 --> 56:55.120]  state i mean holy mackerel do you understand you are targeted you're being attacked you're being
[56:55.120 --> 57:02.640]  bombarded chemically biologically radiologically light waves color pheromones all things
[57:02.640 --> 57:10.160]  pheromones olfactory everything and i'm talking to fbi agents police military bureaucrats all of you
[57:10.160 --> 57:15.040]  that think you're part of the power elite the structure you are the enemies of the new world
[57:15.040 --> 57:22.800]  order just as i am this is a tiny elite there are no more than a few thousand global master
[57:22.800 --> 57:28.720]  technocrats that even understand the information you're being given here ladies and gentlemen
[57:28.720 --> 57:34.000]  and if you're doubting me folks i told you about ndaa years ago i told you about tsa
[57:34.000 --> 57:41.040]  highway checkpoints a decade before it happened how much have i told you i am one of the only
[57:41.040 --> 57:45.840]  people who understands the full spectrum system who doesn't work for the enemy do you understand
[57:45.840 --> 57:47.440]  that second hour coming up
[57:50.560 --> 57:55.440]  hi folks this is alex jones i'm looking for people that have the wisdom to spot savings
[57:55.440 --> 58:00.960]  opportunity and recognize risk saving means to make money the cow been pure soap company can
[58:00.960 --> 58:05.440]  save you thousands of dollars and give you good old-fashioned real soaps that are triple
[58:05.440 --> 58:10.800]  concentrated and twice as good as what you're using now soaps made from vegetable and coconut
[58:10.800 --> 58:17.200]  oils that contain no useless dyes perfumes deodorants or antibacterials your risk is the
[58:17.200 --> 58:23.280]  hundreds of hazardous toxic detergents that give you rashes itching sores and deteriorating clothing
[58:23.280 --> 58:27.600]  called lint if you want something better if you want something you've never had before you have
[58:27.600 --> 58:34.320]  to do something you've never done before getting a free catalog is easy by calling 800-340-7091
[58:34.320 --> 58:42.480]  or see calvin on the web at five star soap.com take charge of your health now by calling 800-340-7091
[58:42.480 --> 58:45.600]  or see calvin on the web at five star soap.com
[58:45.600 --> 58:51.920]  hundreds of nations have fallen to tyranny in the last century alone this is our last chance to not
[58:51.920 --> 58:57.120]  relive history as we're finishing off this agenda that we're pulling the rug from underneath
[58:57.120 --> 59:03.120]  americans at home i have tremendous influence on our president and congress and they really are
[59:03.120 --> 59:09.920]  calling the shots i think it's incumbent upon all of us as american citizens to pay attention for
[59:09.920 --> 59:15.760]  the republic identifies the enemies of our nation the criminal offshore cartel held bent on
[59:15.760 --> 59:20.400]  destroying sovereignty and on its ashes constructing world government tim geithner
[59:20.400 --> 59:24.880]  bernanke they're arsonists they're asking for more matches and the congress is saying who do
[59:24.880 --> 59:30.640]  we make the check out to today seems like nobody does care and right now in washington dc we have
[59:30.640 --> 59:37.900]  seen a fall of the republic yet your copy of fall is a
[59:37.900 --> 59:45.480]  republic get your copy of fall of the republic on dvd at info wars.com or watch it online right now
[59:45.480 --> 59:48.680]  in super high quality at prisonplanet.tv
[59:51.400 --> 59:58.280]  coast to coast direct from austin you're listening to the alex jones broadcasting network
[59:58.280 --> 01:00:06.120]  network from his central texas command center deep behind enemy lines
[01:00:06.120 --> 01:00:11.720]  the information war continues it's alex jones and the gcn radio network
[01:00:14.680 --> 01:00:20.280]  i was just thinking during the break if you were going to practice shutting down cities
[01:00:20.280 --> 01:00:28.360]  lining people up arresting certain individuals surveilling and tracking the every move of all
[01:00:28.360 --> 01:00:33.880]  the others where would you test that you'd test that at disney world
[01:00:38.040 --> 01:00:41.560]  and that's how my brain just clicks i'm like department of defense laboratory
[01:00:41.560 --> 01:00:45.640]  because i know they're nomenclature boom look it up department of defense laboratory
[01:00:45.640 --> 01:00:51.560]  department of defense laboratory and again it's not that i'm that smart somebody who's been
[01:00:51.560 --> 01:00:57.240]  watching football for 20 years obsessed with it you're gonna know you know as much as the guys
[01:00:57.240 --> 01:01:03.000]  on espn or more it's the same thing here i've actually studied what's really being built
[01:01:03.000 --> 01:01:10.280]  what's really going on around me and i understand why the average person just goes oh that can't be
[01:01:10.280 --> 01:01:15.720]  true because you're taught you can choose your reality you're taught that you can just say oh
[01:01:15.720 --> 01:01:28.600]  i don't believe this guy but that doesn't change the facts we might as well have little gray-headed
[01:01:28.600 --> 01:01:33.880]  aliens with big black eyes like science fiction says running things because the globalists are
[01:01:33.880 --> 01:01:40.440]  that removed from humanity they're that cold-blooded they're that hateful towards their
[01:01:40.440 --> 01:01:45.880]  own species and in their own publications claim they're another species and transcendent and
[01:01:47.400 --> 01:01:51.000]  they're going to get their world government we're not going to be part of the future and
[01:01:51.000 --> 01:02:04.200]  the globalists will get the life extension and only the elites will get the digital augmentations
[01:02:04.200 --> 01:02:09.640]  the the pace of change that we are about to see as a society
[01:02:13.000 --> 01:02:15.800]  is mind-boggling because we've been in a frozen
[01:02:15.800 --> 01:02:23.240]  stasis culturally with just slow little incremental changes decoloration changes
[01:02:23.800 --> 01:02:28.120]  presentation changes in 30 year old tech that the globalists
[01:02:29.800 --> 01:02:34.600]  developed and bought and stole and put together
[01:02:39.000 --> 01:02:43.240]  and now they've decided to go ahead and start accelerating a lot of the programs
[01:02:43.240 --> 01:02:44.440]  and the change
[01:02:46.440 --> 01:02:48.440]  and if they are successful
[01:02:50.680 --> 01:02:56.440]  99.9 plus percent of those that help usher in
[01:02:58.840 --> 01:03:07.640]  will be destroyed will be crippled will be made destitute if they're lucky by it
[01:03:07.640 --> 01:03:13.640]  but because they are living in a fantasy land because they're receiving false data
[01:03:14.280 --> 01:03:20.120]  they won't even know that on the journey they'll think they're winning and they'll think it's a
[01:03:20.120 --> 01:03:25.800]  tragic event when they fail and then it's somebody else's fault it's all scripting when you believe
[01:03:25.800 --> 01:03:28.920]  anything a liar says you'll believe anything
[01:03:28.920 --> 01:03:33.880]  you see sometimes i can't just get up here and cover the news and analyze it
[01:03:36.600 --> 01:03:44.200]  because even within covering this news we play into the paradigm of the social engineers
[01:03:47.400 --> 01:03:54.120]  and we're not going to be able to cover the news we're not going to be able to cover the news
[01:03:54.120 --> 01:04:00.680]  we play into the paradigm of the social engineers
[01:04:00.680 --> 01:04:07.080]  the way to defeat the new world order is to really awaken to the fact that this civilization
[01:04:08.920 --> 01:04:12.680]  to a great extent has been pre-planned
[01:04:15.160 --> 01:04:20.360]  i said to a great extent because they're not in complete control they're trying to get incomplete
[01:04:20.360 --> 01:04:28.840]  control yeah that's the most important point i haven't made it if the globalists get their
[01:04:28.840 --> 01:04:36.520]  system in place what would the complete control look like
[01:04:39.000 --> 01:04:45.960]  look in my eyes you've got a lot of ancestors and all of their experiences
[01:04:45.960 --> 01:04:49.880]  you've got intuition you know the truth
[01:04:49.880 --> 01:05:14.360]  i've seen the future and so have you we've got to change it did you ever think you'd be where you
[01:05:14.360 --> 01:05:20.120]  christmas gift along with thousands of other americans did you ever think your future would feel this out
[01:05:20.120 --> 01:05:26.120]  of control the fact is in all this craziness there's only one thing you can control your
[01:05:26.120 --> 01:05:33.000]  greatest dependency your food supply make 2012 the year you take control by getting prepared
[01:05:33.000 --> 01:05:39.080]  efoods direct introduces the best way to build your food supply in the 21st century get a 21
[01:05:39.080 --> 01:05:46.280]  day supply of food free with purchase call 800-409-5633 or go to efoods direct.com forward
[01:05:46.280 --> 01:05:54.440]  slash alex take back control in 2012 call 800-409-5633 or go to efoods direct.com forward
[01:05:54.440 --> 01:05:58.280]  slash alex remember you can bet your life on efoods direct
[01:05:58.280 --> 01:06:11.560]  we now take you live to the central texas command center in the heart of the resistance
[01:06:11.560 --> 01:06:22.120]  you're listening to the alex jones show i tell you what i've uh spent an hour 45 minutes
[01:06:22.120 --> 01:06:32.680]  minus the commercials kind of segwaying in and out of the heart of my concerns dealing with
[01:06:32.680 --> 01:06:39.560]  the technocratic elite that are pre-designing our future and our technological development
[01:06:40.440 --> 01:06:45.560]  it's very painful to hear talk show hosts talking about steve jobs and all of his uh
[01:06:45.560 --> 01:06:55.080]  innovations when that is multi-decade old technology and was rolled out according to
[01:06:55.080 --> 01:07:01.960]  a pre-destined pre-established plan the north american union the asian union the euro
[01:07:02.920 --> 01:07:06.760]  all of it developed set up by 1957 with the treaty of rome
[01:07:06.760 --> 01:07:12.920]  a contemporary example that i use commonly is the pentagon still claims the sr-71 blackbird
[01:07:12.920 --> 01:07:19.320]  developed in 1952 and serviced by 1955 is the fastest aircraft to this day in 2012
[01:07:20.840 --> 01:07:23.800]  or a more modern example is the b-2
[01:07:26.600 --> 01:07:30.600]  bomber stealth bomber
[01:07:30.600 --> 01:07:37.160]  test models were developed and already deployed in the 1960s it was in service by the 1970s
[01:07:38.200 --> 01:07:45.880]  and of course was not revealed to the public until 1987 or was it 88 guys look up uh
[01:07:45.880 --> 01:07:50.680]  just do a memory test here i'm a primitive electrochemical system interface it with the
[01:07:50.680 --> 01:07:55.800]  silicon version and let's see if we can do it again let's see if we can do it again
[01:07:55.800 --> 01:08:00.600]  let's do a memory test here on my primitive electrochemical system interface it with the
[01:08:00.600 --> 01:08:07.960]  silicon version and let's let's pull up uh the uh b-2 bomber public rollout i believe it was 87 or 88
[01:08:09.400 --> 01:08:15.480]  perhaps it was 89 now that i think about it let's just find out okay uh continuing here
[01:08:15.480 --> 01:08:27.160]  reason i'm so concerned let me just give you one small data point of literally hundreds
[01:08:28.520 --> 01:08:36.040]  on the subject of mass death mass population
[01:08:36.040 --> 01:08:47.480]  reduction because this is something that i've been talking about for a very very long time
[01:08:49.160 --> 01:08:53.240]  with great concern because i've been able in deep research
[01:08:55.800 --> 01:09:03.720]  to investigate why western governments are building gigantic quasi-secret
[01:09:03.720 --> 01:09:08.360]  doomsday uh scenario
[01:09:11.000 --> 01:09:17.800]  facilities all over the world why are they building animal and human dna arcs
[01:09:18.680 --> 01:09:25.000]  in remote areas of the himalayas the arctic the antarctic the frozen tundra
[01:09:25.000 --> 01:09:34.280]  b-2 rollout was 88 thank you i
[01:09:37.240 --> 01:09:42.120]  watched the continuity of government system via nato and the united states
[01:09:43.080 --> 01:09:49.400]  but the russians and chinese are also been obsessed with it spending in some years
[01:09:49.400 --> 01:09:55.320]  upwards of ten percent of the entire defense security budgets on building giant underground
[01:09:55.320 --> 01:10:03.000]  bases with nuclear power underground reservoirs you know people could live under there for 100
[01:10:03.000 --> 01:10:13.080]  years i watched this and i watched since i became really awake 18 years ago
[01:10:13.080 --> 01:10:22.680]  quasi-awake 18 years ago i became fully awake 15 i watched and just because you're awake doesn't
[01:10:22.680 --> 01:10:27.560]  mean you know everything it means you're now awake you're able to learn i watched this mad
[01:10:27.560 --> 01:10:35.880]  rush like the end of the world was coming and then i learned because these people leak stuff
[01:10:35.880 --> 01:10:40.200]  and and they talk and the and the different academics talk but they're not concerned about
[01:10:40.200 --> 01:10:47.000]  a meteorite they're not concerned about little green men they're not concerned about even nuclear
[01:10:47.000 --> 01:10:57.320]  war so much as they are biological weapons and and again if you're driving along your car right
[01:10:57.320 --> 01:11:00.040]  now let's say you got your family in the car maybe there's six of you in the vehicle
[01:11:01.480 --> 01:11:05.720]  statistically if any of these weapons are released and i'm going to talk about here in a moment
[01:11:05.720 --> 01:11:12.520]  statistically if any of these are released everyone in the car will be dead now i know
[01:11:12.520 --> 01:11:19.400]  that's not as important as nfl playoffs but see there won't be any nfl playoffs
[01:11:20.920 --> 01:11:29.800]  if this happens and i have been discovered in the last five six seven years my research
[01:11:29.800 --> 01:11:37.160]  is confirmed in triplicate in spades every angle i look at it that they're not building
[01:11:37.160 --> 01:11:42.680]  these bunkers because they're worried about some rogue group producing and releasing airborne
[01:11:42.680 --> 01:11:51.160]  ebola with a 94 kill rate or human mousepox with a 99 airborne kill rate or different variants of
[01:11:51.160 --> 01:12:00.520]  bird flu and others with a 91 92 kill rate that's nine out of ten on your block dead end of
[01:12:00.520 --> 01:12:08.680]  civilization as we know it they're not doing this because they're worried the only thing i have to
[01:12:08.680 --> 01:12:13.160]  figure out is that they're going to go ahead and release it as they're clearly building up towards
[01:12:13.160 --> 01:12:20.600]  why they're running around i guess for some future history maybe that's it so they can blame it
[01:12:22.920 --> 01:12:28.760]  on out of control biological testing so that once they re-emerge and set up a new civilization
[01:12:28.760 --> 01:12:33.560]  they'll have an excuse for a total police state tyranny over all biological and nanotech
[01:12:34.600 --> 01:12:35.240]  developments
[01:12:38.120 --> 01:12:42.680]  because the entire establishment acts like we don't even exist and they don't even care
[01:12:42.680 --> 01:12:46.440]  if we're wise to them and they're just getting ready for the end of the world
[01:12:47.800 --> 01:12:56.680]  while setting up 36 level 4 bioweapons labs in level 2 and 3 containment and setting up over 200
[01:12:56.680 --> 01:13:05.160]  other facilities that are barely level 2 that have level 4 weaponized airborne total death being
[01:13:05.160 --> 01:13:13.160]  developed in them because you know the globalists sell to kind of mid-level minions and establishment
[01:13:13.160 --> 01:13:18.120]  types who think world government's like some star trek thing because like baby ducks they were
[01:13:18.680 --> 01:13:23.160]  imprinted with that that oh it's just a bit you know we all run around in jumpsuits and fly around
[01:13:23.160 --> 01:13:27.640]  in jet packs and the global government and have you know hot blonde girlfriends or whatever you
[01:13:27.640 --> 01:13:32.200]  know that's in all the different movies and stuff no you're you're dead in that future you don't
