[00:00.000 --> 00:10.000]  So
[28:22.240 --> 28:26.960]  in here, then 10, 20 years down the road, they can start construction and building,
[28:26.960 --> 28:28.840]  which they're already doing, by the way.
[28:28.840 --> 28:35.360]  So we are for real conservation, but we are against organized crime clicks that call themselves
[28:35.360 --> 28:39.720]  international bankers and elite corporations coming in and buying off your politicians
[28:39.720 --> 28:45.440]  like Bill Clinton, who is an incredible trader to this country, who then signs over promptly
[28:45.440 --> 28:51.880]  our rights to use and to maintain our natural wonders.
[28:51.880 --> 28:54.040]  There's a lot of money in controlling these places.
[28:54.040 --> 28:56.800]  A lot of people come and visit them.
[28:56.800 --> 29:01.880]  It's cut through their lives, and it's sterling simple exactly what's happening.
[29:01.880 --> 29:06.080]  Now let's go talk to some park rangers and other individuals, perhaps some of the tourists
[29:06.080 --> 29:11.160]  here, and see if they've even heard of this terrible crime that's being committed against
[29:11.160 --> 29:22.800]  the American people, this giant land grab.
[29:22.800 --> 29:27.000]  Ladies and gentlemen, I'm conducting a scientific experiment.
[29:27.000 --> 29:33.040]  I want to ask y'all if y'all know about executive order signed January 19th, 1996 by President
[29:33.040 --> 29:40.160]  Bill Clinton, number 12,986, which designated this as a World Heritage Site under UNESCO,
[29:40.160 --> 29:42.240]  a corporation of the United Nations.
[29:42.240 --> 29:45.280]  None of you heard about this in the mainstream media?
[29:45.280 --> 29:48.360]  None of you heard about it?
[29:48.360 --> 29:49.360]  Nobody's heard about this, have you?
[29:49.360 --> 29:54.080]  Well, they took down the signs in most parks because there was a furor about three days
[29:54.080 --> 29:56.440]  after they put up the United Nations signs.
[29:56.440 --> 29:58.000]  No one's heard about it, huh?
[29:58.000 --> 30:02.160]  Well, see, that's how fascism breeds.
[30:02.160 --> 30:06.120]  The environmentalist movement is now nothing but an arm of corrupt international banks
[30:06.120 --> 30:07.280]  and corporations.
[30:07.280 --> 30:13.400]  They're using it as an excuse for land grabs all over the entire world.
[30:13.400 --> 30:14.920]  Remember this, and check it out.
[30:14.920 --> 30:19.680]  Executive order, call the Interior Department, call Bruce Babbitt, executive order, 12,986.
[30:19.680 --> 30:22.480]  It's important.
[30:22.480 --> 30:28.480]  The modern Bureau's a propaganda, keep this from you.
[30:28.480 --> 30:33.120]  No sooner had I turned away that some of the crowd began to laugh and call me a kook.
[30:33.120 --> 30:38.560]  I guess they won't take the time to check out the executive order, 12,986.
[30:38.560 --> 30:42.760]  I guess they don't believe it unless they hear it from Peter Jennings' mouth.
[30:42.760 --> 30:45.740]  Most people only look on the surface of things.
[30:45.740 --> 30:48.840]  Most people are not conscious.
[30:48.840 --> 30:51.400]  They never question.
[30:51.400 --> 30:58.800]  As you just saw, I asked the people here, if they knew about the executive order, beginning
[30:58.800 --> 31:04.360]  the long slide towards international control of our wilderness areas and our national parks
[31:04.360 --> 31:06.680]  and monuments.
[31:06.680 --> 31:12.200]  People just don't seem concerned, and that is human nature, but it's not their fault.
[31:12.200 --> 31:14.840]  They haven't been informed.
[31:14.840 --> 31:19.640]  The mainstream media has kept them in the dark.
[31:19.640 --> 31:23.840]  Meanwhile, their rights are being vastly eroded.
[31:23.840 --> 31:25.680]  I'm sure everyone's heard the news.
[31:25.680 --> 31:31.440]  They're planning to close Yellowstone Park two cars.
[31:31.440 --> 31:33.400]  You'll have to come in on buses.
[31:33.400 --> 31:36.080]  That's all part of jacking up the prices.
[31:36.080 --> 31:37.800]  And they're going to restrict cars here in the future.
[31:37.800 --> 31:40.080]  That's all being discussed as we speak.
[31:40.080 --> 31:46.880]  Chris Babin on Meet the Press has said it repeatedly.
[31:46.880 --> 31:52.960]  It's very hard for Americans to make decisions if they're not given good information.
[31:52.960 --> 31:55.040]  And that's the crux of the problem.
[31:55.040 --> 31:59.240]  President Clinton, with an executive order, an unconstitutional action, has handed over
[31:59.240 --> 32:05.240]  our national parks, Executive Order 12986.
[32:05.240 --> 32:09.320]  At the Grand Canyon Main Visitor Center, we talked to some of the people at the front
[32:09.320 --> 32:12.960]  desk, and they politely said, yes, we've heard about the UN, but we're not quite sure what's
[32:12.960 --> 32:13.960]  going on.
[32:13.960 --> 32:18.440]  There was some rigmarole, some protest about the UN signs, so they have been moved in some
[32:18.440 --> 32:20.120]  of the national parks.
[32:20.120 --> 32:23.800]  And then later, we got a little visit from the head honchos, who were quite rude.
[32:23.800 --> 32:27.360]  Unfortunately, they wouldn't let us take our cameras behind closed doors, where I was threatened
[32:27.360 --> 32:28.360]  with arrest.
[32:28.360 --> 32:31.760]  Well, let's go ahead and go to the actual footage for you.
[32:31.760 --> 32:37.840]  You've heard about the UN biosphere and manned world heritage sites and all.
[32:37.840 --> 32:41.760]  Yes, they had UN signs there, didn't they?
[32:41.760 --> 32:43.760]  Yeah, well, they just put those in, though.
[32:43.760 --> 32:44.760]  They just put the United Nations.
[32:44.760 --> 32:45.760]  Well, they had one in before, but they're moving them.
[32:45.760 --> 32:46.760]  I don't know how recently have you been there.
[32:46.760 --> 32:52.160]  They were redoing the entranceway, and they're going to put them in a different spot.
[32:52.160 --> 32:53.160]  We were there about three months ago.
[32:53.160 --> 32:54.160]  Okay.
[32:54.160 --> 32:59.160]  So they probably are pretty much moved, I would think, because I left like four months
[32:59.160 --> 33:00.160]  ago.
[33:00.160 --> 33:05.120]  I have just a question for you, and I know this isn't a policy question, it's just a
[33:05.120 --> 33:07.320]  question of other things.
[33:07.320 --> 33:11.400]  Why do we need the United Nations to put up its signs and to help us oversee our own
[33:11.400 --> 33:12.400]  national parks?
[33:12.400 --> 33:15.080]  They're not necessarily overseeing our own national parks.
[33:15.080 --> 33:20.080]  Part of what the biosphere reserve does, especially in Kentucky, is that it's not for the park,
[33:20.080 --> 33:22.520]  it's for the area outside the park.
[33:22.520 --> 33:30.400]  But are you familiar with the executive orders setting up a precedent for world governorship
[33:30.400 --> 33:31.400]  of world parks?
[33:31.400 --> 33:38.120]  I've heard fists and heads, but I haven't read enough about it to say in particular.
[33:38.120 --> 33:39.720]  But you have seen the UN signs.
[33:39.720 --> 33:40.720]  Yeah.
[33:40.720 --> 33:41.720]  But they're not here.
[33:41.720 --> 33:46.080]  See, that's funny, though, this park is under that, but they don't put the signs out.
[33:46.080 --> 33:49.840]  I think if it's such a thing of pride that we're getting into the international community,
[33:49.840 --> 33:51.840]  we ought to put the signs out.
[33:51.840 --> 33:52.840]  Right.
[33:52.840 --> 33:57.120]  Well, those symbols don't have anything to do with how the park runs, but just a destination
[33:57.120 --> 33:59.480]  that was an honorary title, basically.
[33:59.480 --> 34:02.480]  Oh, it's honorary to go to UN and say, yeah.
[34:02.480 --> 34:03.480]  Yeah.
[34:03.480 --> 34:07.120]  But it's not anything, it helps us maybe get some grants with research and things like
[34:07.120 --> 34:10.240]  that, but that doesn't help control the park anymore.
[34:10.240 --> 34:13.560]  You mean international money coming in doesn't affect the way the parks would be run?
[34:13.560 --> 34:15.920]  It's for research and things like that, how does that affect the park?
[34:15.920 --> 34:21.160]  Well, how it affects it is, is researchers give recommendations to the parks and to the
[34:21.160 --> 34:24.080]  states, locales, and the federal government.
[34:24.080 --> 34:25.080]  Right.
[34:25.080 --> 34:28.720]  And by doing that, they are paying the researchers, that's the key.
[34:28.720 --> 34:29.720]  That's the keystone.
[34:29.720 --> 34:30.880]  That's the Trojan horse.
[34:30.880 --> 34:35.600]  Then they will give the information that the people, you probably heard the term, if you
[34:35.600 --> 34:37.640]  want to survey, you can pay for whatever you want.
[34:37.640 --> 34:39.200]  You tell them what you want to survey.
[34:39.200 --> 34:40.200]  Yeah.
[34:40.200 --> 34:41.200]  I've never heard that before.
[34:41.200 --> 34:42.200]  Because I really support the parks.
[34:42.200 --> 34:45.800]  I just feel like that I see too much big, I mean, I don't even mean corporations.
[34:45.800 --> 34:50.720]  I mean, super old money banks in Europe and other places are really out for big land grabs
[34:50.720 --> 34:52.480]  and they're instituting the policies.
[34:52.480 --> 34:54.400]  We're hearing it at the universities.
[34:54.400 --> 35:02.040]  The call, it's almost fascistic measures sometimes.
[35:02.040 --> 35:05.920]  Is there anybody that I can, who will just tell me the same thing you did, but just where
[35:05.920 --> 35:07.920]  I can have a mic on and things?
[35:07.920 --> 35:11.440]  We have a public affairs officer right here.
[35:11.440 --> 35:15.440]  Well you heard me just ask him to just politely talk to public affairs officer.
[35:15.440 --> 35:19.080]  We were sitting down for about 10 minutes with our cameras off and barely got a shot
[35:19.080 --> 35:20.080]  of her.
[35:20.080 --> 35:21.080]  That's all we had to freeze it.
[35:21.080 --> 35:22.800]  We only got about a half a second of her.
[35:22.800 --> 35:26.680]  She was very rude and drugged me in the back and threatened to arrest me for dare to ask
[35:26.680 --> 35:27.680]  questions.
[35:27.680 --> 35:29.400]  Was I some type of terrorist?
[35:29.400 --> 35:32.400]  And you should have seen the monster they had in the back with us.
[35:32.400 --> 35:33.880]  This is all part of America.
[35:33.880 --> 35:38.040]  Yes, if you ask questions, you must be some type of weirdo.
[35:38.040 --> 35:43.040]  Now there you have a World Heritage Site sign, one of the two UN designations that the Grand
[35:43.040 --> 35:44.360]  Canyon has.
[35:44.360 --> 35:50.000]  And under these, I've already told you many times, the executive order 12,986, which turns
[35:50.000 --> 35:54.120]  over control to the international community as collateral on the national debt.
[35:54.120 --> 35:58.400]  I want to make a point, all the rangers and people we talked to up to the point at the
[35:58.400 --> 36:00.920]  office were very kind and polite and helpful.
[36:00.920 --> 36:04.760]  It was only the big wigs and they openly told us behind closed doors that they had
[36:04.760 --> 36:09.240]  heard about types like us that were asking questions about the UN.
[36:09.240 --> 36:11.440]  We have to be watched.
[36:11.440 --> 36:16.080]  It's flat out corruption.
[36:16.080 --> 36:19.120]  You own and control these public lands.
[36:19.120 --> 36:23.800]  Not the federal government and not their international lackey friends controlled by foreign corrupt
[36:23.800 --> 36:24.800]  banks.
[36:24.800 --> 36:25.800]  End of story.
[36:25.800 --> 36:30.680]  Let's get out of here.
[36:30.680 --> 36:32.400]  Americans have an important decision to make.
[36:32.400 --> 36:35.560]  You're looking at a map of what the United Nations currently controls.
[36:35.560 --> 36:40.320]  They control up to 60% of Alaska and massive areas of the continental United States of
[36:40.320 --> 36:42.640]  America.
[36:42.640 --> 36:48.040]  But the frightening point is, is what they're planning to take over under the guise of environmentalism.
[36:48.040 --> 36:53.280]  And truthfully what it is is a Trojan horse for an international taxation system.
[36:53.280 --> 36:56.880]  And the president has extended them the powers to carry this out.
[36:56.880 --> 37:01.520]  That's why we must get to the Congress and the people and bring forward this information.
[37:01.520 --> 37:04.040]  That is what they wish to take control of.
[37:04.040 --> 37:07.660]  All areas in red are little to no human use.
[37:07.660 --> 37:11.200]  And all areas in yellow are buffer zones.
[37:11.200 --> 37:15.560]  This is a Trojan horse for an international taxation system.
[37:15.560 --> 37:19.840]  That is the UN's dream ever since the League of Nations failed in 1918.
[37:19.840 --> 37:20.840]  There you have it.
[37:20.840 --> 37:26.880]  Core reserves, little to no human use, yellow, buffer zones, normal use zones of corporation.
[37:26.880 --> 37:28.680]  It goes on and on.
[37:28.680 --> 37:32.960]  And all the facts and all the documents have been laid out in front of you here today.
[37:32.960 --> 37:36.320]  You're probably asking why you haven't heard about this in the mainstream press.
[37:36.320 --> 37:40.500]  You probably haven't heard about the actual treaties, United Nations Framework Convention
[37:40.500 --> 37:42.040]  on Climate Change.
[37:42.040 --> 37:46.000]  You probably also haven't heard about the people that have been standing up against this.
[37:46.000 --> 37:52.320]  People like Congressman Ron Paul, Republican Libertarian from Texas who introduced HR 901
[37:52.320 --> 37:57.360]  in the 105th Congress to restore sovereignty to our national park lands.
[37:57.360 --> 37:59.360]  There's the choice.
[37:59.360 --> 38:04.040]  We left Northern Arizona and traveled back into California on our way to San Francisco
[38:04.040 --> 38:09.200]  to categorize more loss of U.S. sovereignty with Mikhail Gorbachev at the Presidio Naval
[38:09.200 --> 38:14.040]  Base, also part of a UN takeover through the national park system.
[38:14.040 --> 38:19.400]  But before we did that, we dropped by the Las Padres National Park, also taken over
[38:19.400 --> 38:20.400]  by the United Nations.
[38:20.400 --> 38:36.400]  It seems they've taken over every corner of our civilization.
[38:36.400 --> 38:43.880]  The first United Nations UNESCO meeting was held in 1968 in San Francisco at the Presidio
[38:43.880 --> 38:47.280]  Naval Base when it was still a naval base.
[38:47.280 --> 38:52.960]  It was then turned over to the park service and subsequently turned over to United Nations
[38:52.960 --> 38:53.960]  control.
[38:53.960 --> 38:59.800]  Mikhail Gorbachev has several foundations there, the Gorbachev Foundation and Green Cross and
[38:59.800 --> 39:01.760]  Green Shield.
[39:01.760 --> 39:08.240]  The people that enjoy themselves on the beach never know and never even suspect the loving
[39:08.240 --> 39:12.160]  smiley face tyranny that is growing in the bosom of their community.
[39:12.160 --> 39:18.640]  Right there to your lower left hand corner is the Presidio Naval Base where Mikhail Gorbachev
[39:18.640 --> 39:20.760]  sits firmly ensconced.
[39:20.760 --> 39:22.680]  Let's go ahead and give him a visit.
[39:22.680 --> 39:27.160]  This is an aerial photograph of the Presidio Naval Base and where you see the Crooked Cross
[39:27.160 --> 39:33.320]  is the place where Mikhail Gorbachev's foundations reside right underneath the Golden Gate Bridge
[39:33.320 --> 39:35.880]  just like a troll.
[39:35.880 --> 39:42.320]  There's a lot of strange activity going on at our national parks, a honeycomb of foreign
[39:42.320 --> 39:44.520]  corrupt foundations.
[39:44.520 --> 39:50.000]  You're looking at the U.S. headquarters for the Gorbachev Foundation here in San Francisco
[39:50.000 --> 39:52.200]  at the Presidio Naval Base.
[39:52.200 --> 39:57.880]  Mr. Gorbachev also heads up another elitist foundation about a mile from here inside the
[39:57.880 --> 40:01.360]  Presidio called Green Cross.
[40:01.360 --> 40:05.360]  Now Green Cross claims that they're for the environment, but really they are a big front
[40:05.360 --> 40:10.760]  group for power grab money mongers in Europe and New York and Boston and other places,
[40:10.760 --> 40:14.360]  the international corrupt crime cliques as I call them.
[40:14.360 --> 40:21.800]  And it's, the scary part about it is, is this is going on, this is the Gorbachev Foundation,
[40:21.800 --> 40:32.400]  no one has posted it here, it says no trespassing and no one seems to care that this entire
[40:32.400 --> 40:39.120]  beautiful naval base has been turned into a hive of anti-constitutional behavior.
[40:39.120 --> 40:48.000]  I mean these guys are for socialism, they are for land grabs, everything you can imagine.
[40:48.000 --> 40:51.640]  I mean we'll drive through and show you some pictures of just some of the foundations.
[40:51.640 --> 40:55.200]  The Center for Sustainability, well that means telling people they can't build on their own
[40:55.200 --> 41:00.800]  land, it's all about controlling people and telling people what you can do.
[41:00.800 --> 41:04.640]  And I just, I thought it was just Gorbachev and a couple of foundations here, now we've
[41:04.640 --> 41:09.000]  been driving around everywhere we look, we see elitist foundations that I've read about.
[41:09.000 --> 41:14.920]  So this entire place is pretty much a propaganda base for servants of the elite, I'm sure it's
[41:14.920 --> 41:18.560]  a training and a spawning ground for their propaganda.
[41:18.560 --> 41:24.480]  And it's just sad to see beautiful San Francisco and the beautiful historical Presidio base
[41:24.480 --> 41:29.960]  that's been some form of military base going back to 1776 when the Spanish were here, turned
[41:29.960 --> 41:42.320]  into a, again a hive of rationale for corruption, that's what we've got going on here.
[41:42.320 --> 41:47.880]  The Thoreau Center for Sustainability, now that's a key word, sustainability, we'll
[41:47.880 --> 41:52.600]  tell you a little bit more about what that's a buzzword to catchphrase for.
[41:52.600 --> 41:58.240]  Since the Park Service has gotten the Presidio in 94, we find out what they're really all
[41:58.240 --> 42:03.320]  about and they seem to never learn new tricks because again they're just an arm of the federal
[42:03.320 --> 42:05.120]  government grabbing land.
[42:05.120 --> 42:12.040]  So who does the Park Service give buildings to on the sites?
[42:12.040 --> 42:16.840]  Energy Foundation Institute for Global Communications, let's walk on down and see a few more of
[42:16.840 --> 42:25.960]  the lovely institutes and foundations that are so concerned with stealing your property
[42:25.960 --> 42:30.000]  because that's the best way to get property, you don't buy it, you go lobby government
[42:30.000 --> 42:34.840]  and pay off politicians and they let you steal it, it's wonderful.
[42:34.840 --> 42:42.680]  Here's another one of the many elitist foundations, the Center for Sustainability and they have
[42:42.680 --> 42:50.400]  these large complex of beautiful buildings here that the Park Service has allowed them
[42:50.400 --> 42:56.560]  to have and what we have to understand is sustainability is a code word for the government
[42:56.560 --> 43:02.120]  coming in and stealing your land and zoning it strangely so that people like this and
[43:02.120 --> 43:08.560]  their big bank interest can control your life because private property is the last bulwark
[43:08.560 --> 43:14.760]  except for the second amendment, the right to keep and bear arms against thug behavior.
[43:14.760 --> 43:19.480]  Plain and simple, that's what it comes down to.
[43:19.480 --> 43:24.120]  Sustainability, watch out for that word, it has infiltrated all our institutions of higher
[43:24.120 --> 43:29.680]  learning and the young people are out there spouting it all day, very very dangerous trend,
[43:29.680 --> 43:34.240]  it's socialism, it's feudalism, it's the serfs can't have their own land, the government
[43:34.240 --> 43:40.520]  says what you can and can't do and these buildings here pump out propaganda to rationalize all
[43:40.520 --> 43:42.720]  of this behavior.
[43:42.720 --> 43:45.920]  Sir I appreciate you taking out this time to talk to us about U.S. sovereignty, what's
[43:45.920 --> 43:47.160]  your name?
[43:47.160 --> 43:53.840]  My name is Herb Meyer, I live in Larkspur California, I'm a former Air Force officer
[43:53.840 --> 43:59.680]  and I've just been down at the commissioning ceremonies for the hopper which is a new missile
[43:59.680 --> 44:03.520]  cruiser being commissioned here in San Francisco.
[44:03.520 --> 44:11.840]  I'm very concerned about foreign governments, people intruding on our sovereignty upon our
[44:11.840 --> 44:18.680]  United States, taking over what is our country, I'm very concerned about the Clinton administration
[44:18.680 --> 44:24.760]  and how he's given away the world and what he's done with people like the Chinese and
[44:24.760 --> 44:30.200]  what's going on, I'm very concerned about what's happening in our country, I think it's
[44:30.200 --> 44:34.600]  about time that the United States people wake up to what's going on and it's about time
[44:34.600 --> 44:40.480]  that we take our country back into our hands and get rid of some of these liberal people
[44:40.480 --> 44:44.220]  that are just totally irresponsible in what they're doing.
[44:44.220 --> 44:51.320]  Are you familiar with the Gorbachev Foundation and the Green Cross Foundation and the World
[44:51.320 --> 44:54.240]  Forum Foundation here at the base?
[44:54.240 --> 44:58.360]  No, I'm not intimately familiar with them.
[44:58.360 --> 45:03.160]  I've heard about the Gorbachev Foundation but I'm not familiar with the details that
[45:03.160 --> 45:07.560]  are going on but I'm concerned about foreign nationals and what's going on.
[45:07.560 --> 45:14.200]  So in your opinion it's a travesty for so many international foundations and front groups
[45:14.200 --> 45:17.440]  of corruption to be setting up shop here at the base?
[45:17.440 --> 45:21.480]  Absolutely, this is our base, this is our country, it's not there as they should be
[45:21.480 --> 45:22.480]  here.
[45:22.480 --> 45:26.480]  I mean what is it called when someone that swears at oath to protect and defend the Constitution
[45:26.480 --> 45:32.240]  lets in foreign spies and directs the park service and others to open up every avenue
[45:32.240 --> 45:34.840]  they can for historical sites to foreign foundations.
[45:34.840 --> 45:35.840]  What's that called?
[45:35.840 --> 45:38.120]  I believe that's called a traitor.
[45:38.120 --> 45:40.480]  And so textbook is high treason?
[45:40.480 --> 45:44.120]  High treason they should be treated accordingly.
[45:44.120 --> 45:49.480]  Accordingly would be to get them out of the office first of all but if it need be we have
[45:49.480 --> 45:53.040]  shot traitors before.
[45:53.040 --> 45:59.280]  As we leave San Francisco we set our sights for Oregon and the Pacific Northwest of Washington
[45:59.280 --> 46:00.280]  State.
[46:00.280 --> 46:06.380]  We're going to show you even more of what's happening in our country and document every
[46:06.380 --> 46:09.280]  inch of the way.
[46:09.280 --> 46:14.120]  It was sad to see the unsuspecting San Franciscans, most of them had no conception of what was
[46:14.120 --> 46:19.480]  going on or what was nestled in their community and most of them probably thought it was popular
[46:19.480 --> 46:20.480]  and nice.
[46:20.480 --> 46:27.000]  Well we've got a lot more information to show you as we travel around the country.
[46:27.000 --> 46:32.440]  We're now just north of San Francisco on a beautiful stretch of Highway 1 at Point
[46:32.440 --> 46:38.080]  Reyes National Seashore and it's also United Nations Biosphere.
[46:38.080 --> 46:42.880]  So before San Francisco in the mountains is now biosphere.
[46:42.880 --> 46:49.320]  Gorbachev's got part of the Presidio Naval Base, a national treasure and on the other
[46:49.320 --> 46:53.760]  side of San Francisco just north they've got a stretch of Highway 1 that's now under international
[46:53.760 --> 46:54.760]  control.
[46:54.760 --> 46:56.280]  I mean they've just got everything.
[46:56.280 --> 47:06.760]  Now let's go on down the road a little bit more and see what we find down there.
[47:06.760 --> 47:20.760]  So
[47:36.760 --> 47:49.240]  We're fixing to enter the Redwood National and State Parks here in Northern California,
[47:49.240 --> 47:51.680]  and they're being dishonest as usual.
[47:51.680 --> 47:57.680]  This is designated as a World Heritage and Biosphere Zone with international control,
[47:57.680 --> 48:02.320]  but they don't post-fat, they've taken that down, we're told here, but if you call the
[48:02.320 --> 48:06.040]  Interior Department, Bruce Babbitt, they'll confirm the truth.
[48:06.040 --> 48:09.800]  And as we were driving, we were talking about something.
[48:09.800 --> 48:15.680]  You know, in Southern Arizona, they've got the Pipe Organ Cactus Monument, the biggest
[48:15.680 --> 48:18.560]  cactus in the world, over 40 feet tall.
[48:18.560 --> 48:21.960]  In Northern Arizona, they've got the biggest canyon in the world under their control, the
[48:21.960 --> 48:22.960]  Grand Canyon.
[48:22.960 --> 48:25.960]  They've got the biggest trees under control in the world.
[48:25.960 --> 48:30.400]  Every national treasure that America has that's the biggest and the best in the world,
[48:30.400 --> 48:35.080]  the UN is now getting control of, very, very frightening.
[48:35.080 --> 48:36.720]  We've got to do something about it.
[48:36.720 --> 48:41.120]  We're looking at a large map of Redwood National and State Park.
[48:41.120 --> 48:48.160]  Up Redwood Creek is an area known for its large trees.
[48:48.160 --> 48:53.400]  Here in the tall trees grove is the first, the third, and the fifth tallest trees in
[48:53.400 --> 48:59.560]  the world, measured in 1963, as I indicated by National Geographic.
[48:59.560 --> 49:00.560]  What is this right here?
[49:00.560 --> 49:04.200]  I saw this diagram, and I find this to be just incredible.
[49:04.200 --> 49:10.920]  It shows the Statue of Liberty, and it shows World Tallest Tree, the Sequoia, and it's
[49:10.920 --> 49:12.760]  367.
[49:12.760 --> 49:13.760]  That's just unbelievable.
[49:13.760 --> 49:14.760]  It is.
[49:14.760 --> 49:19.600]  A question we have is, we have seen some of the parks, and it says that the Grand Canyon
[49:19.600 --> 49:24.400]  gets an international designation as a World Heritage Site.
[49:24.400 --> 49:30.000]  This is a World Heritage Site also, which means that the United Nations simply wants
[49:30.000 --> 49:35.120]  to single out this area, this particular piece of real estate.
[49:35.120 --> 49:40.680]  Monuments are created by the President through the Antiquities Act, very important act, such
[49:40.680 --> 49:44.880]  things as Yellowstone National Park and others have been created that way.
[49:44.880 --> 49:51.080]  The President, through an executive order, creates monuments, Congress creates parks,
[49:51.080 --> 49:57.360]  and Congress can, in the case, say, of Death Valley National Monument, make an upgrade,
[49:57.360 --> 50:00.120]  in a sense, the monument into a park.
[50:00.120 --> 50:05.760]  They're both treated equally, but we have, in this nation, the grandest, probably the
[50:05.760 --> 50:09.560]  most sacred, most historic places in the world, and we've set them aside.
[50:09.560 --> 50:11.560]  It's unique with America.
[50:11.560 --> 50:13.720]  It's being copied throughout the world.
[50:13.720 --> 50:15.880]  People come from all over the world to see these places.
[50:15.880 --> 50:19.600]  Wasn't America, at first, like what Teddy Roosevelt started doing there?
[50:19.600 --> 50:24.760]  Teddy Roosevelt, during his administration, he created five national parks, one of which
[50:24.760 --> 50:25.760]  was Yellowstone.
[50:25.760 --> 50:29.680]  But he also created the U.S. National Forest Service, which is something that not too many
[50:29.680 --> 50:36.680]  people know about, but that was about 1905, you know, and it was, he was one of the leaders
[50:36.680 --> 50:39.480]  in the park movement.
[50:39.480 --> 50:43.640]  If President Teddy Roosevelt was the father of our national park system, then President
[50:43.640 --> 50:48.800]  Bill Clinton is the father of treasonous behavior, handing them over to the United Nations.
[50:48.800 --> 50:55.080]  You've seen here today that most of the Rangers are totally unaware of the real scope in nature,
[50:55.080 --> 51:03.440]  but they all are aware of the U.N. engaged in helping keep the prime real estate safe.
[51:03.440 --> 51:06.160]  I'm standing at the base of a 304-foot tree.
[51:06.160 --> 51:11.760]  We're told that some of these trees get over 367 feet tall and live to over 2,000 years.
[51:11.760 --> 51:16.080]  This is a prehistoric forest, a remnant of a forest that's stretched over half the United
[51:16.080 --> 51:17.080]  States.
[51:17.080 --> 51:21.600]  It's very important to keep this pristine and under United States control, not under
[51:21.600 --> 51:26.480]  United Nations control, as the precedent is starting to be set.
[51:26.480 --> 51:30.320]  We're now leaving Northern California and entering into the Pacific Northwest.
[51:30.320 --> 51:35.040]  We'll then travel through the mountain states, all the way through to Oklahoma City and revisit
[51:35.040 --> 51:36.400]  that tragedy.
[51:36.400 --> 52:02.360]  And we'll wind up in the University of Texas in Austin, Texas to show you our youth being
[52:02.360 --> 52:12.160]  safe.
[52:12.160 --> 52:17.400]  Before we left the Redwoods, we were hell-bent on finding the U.N. sign, and we did find
[52:17.400 --> 52:25.840]  it hidden behind a rest stop on the back of the building, as they always are.
[52:25.840 --> 52:38.760]  We're about 10 miles from Mount St. Helens, which violently erupted in 1980, destroying
[52:38.760 --> 52:42.600]  everything for about 50 miles in all directions.
[52:42.600 --> 52:50.040]  Now only 17 years later, the rejuvenation of the incredibly resilient earth is apparent.
[52:50.040 --> 52:55.160]  Contrary to what the radical environmentalist would have you believe, the earth is very,
[52:55.160 --> 53:01.120]  very resilient and able to take incredible shocks because the world was formed in fire
[53:01.120 --> 53:02.120]  and destruction.
[53:02.120 --> 53:06.680]  Now, that's not saying that we like what happened here, but certainly we shouldn't let them
[53:06.680 --> 53:11.880]  panic us into giving up our property rights in the name that secretly that will make the
[53:11.880 --> 53:12.880]  world be a safe place.
[53:12.880 --> 53:18.560]  We're going to show you some shots all around this area of beautiful trees that have already
[53:18.560 --> 53:23.560]  grown up to 20, 30 feet tall since the violent eruption in 1980.
[53:23.560 --> 53:29.480]  Look at this, we're only like 11 miles now from the crater itself.
[53:29.480 --> 53:37.320]  One of the biggest volcanic explosions in U.S. history, or the biggest, and I mean, it's
[53:37.320 --> 53:38.320]  ridiculous.
[53:38.320 --> 53:39.320]  The trees are growing.
[53:39.320 --> 53:40.320]  These are little short trees.
[53:40.320 --> 53:48.480]  There's like some 50 foot trees, 30 foot trees down here that have grown, absolutely hypocritical.
[53:48.480 --> 53:53.920]  Rural environmentalism is caring about test sides being used on your food things.
[53:53.920 --> 53:59.600]  Not, not, oh yes, let Carol Browner tax you to drive your car.
[53:59.600 --> 54:01.800]  That's just so bureaucrats can have more jobs.
[54:01.800 --> 54:09.440]  Look at this, we're only like 11 miles outside the actual blast point of the crater.
[54:09.440 --> 54:16.080]  All this was level when it went off in 1980, and look at it now, the resilient earth.
[54:16.080 --> 54:22.040]  When are we going to start letting them not panic us and get us into a mode of fear, giving
[54:22.040 --> 54:24.600]  up all our rights so the grass will grow?
[54:24.600 --> 54:29.200]  It's the most primitive witch doctor of a heck, I've ever seen in my life.
[54:29.200 --> 54:33.920]  I just hope the camera can catch this, how the park has come back.
[54:33.920 --> 54:39.640]  You know, it's really, really good to see all the industry and the nice little schools
[54:39.640 --> 54:43.200]  and the happy people living around Mount St. Helens.
[54:43.200 --> 54:48.680]  It's good to see people that have the right outlook on life in my opinion, that aren't
[54:48.680 --> 54:53.120]  afraid, that are willing to take risks, that have that pioneer wildcat spirit, that don't
[54:53.120 --> 55:00.240]  let the government turn them into little shaking in their boots city people.
[55:00.240 --> 55:03.720]  And by that I'm not telling people that live in cities, I live in cities, but they want
[55:03.720 --> 55:08.520]  us all to be these cookie cutter people that are afraid and listen to what they say and
[55:08.520 --> 55:12.080]  think the earth's fixin' to die and all the rest of these lies.
[55:12.080 --> 55:17.640]  I mean, this is just a beautiful area around here, it's come back so fast, and it just
[55:17.640 --> 55:22.400]  totally debunks the lies that the establishment tries to push on us.
[55:22.400 --> 55:27.800]  Humans need challenges, humans need hardship, and I'm not calling for hardship, but I'm
