[00:00.000 --> 00:20.000]  Music
[26:57.160 --> 27:00.160]  because we originally told there were probably going to be a couple of locations
[27:00.160 --> 27:03.160]  and later on we found out there's 12 locations.
[27:03.160 --> 27:06.160]  And yet we were never brought into this at the beginning.
[27:06.160 --> 27:12.160]  Why did the mayor, and I heard this quoted on KTSA,
[27:12.160 --> 27:16.160]  San Antonio 550 station two days ago,
[27:16.160 --> 27:19.160]  I heard it quoted that the mayor said that
[27:19.160 --> 27:23.160]  he didn't appreciate the dishonesty of the Delta Force.
[27:23.160 --> 27:25.160]  I was curious, we call the mayor's office,
[27:25.160 --> 27:28.160]  and Jackie O'Donnell, I believe her name,
[27:28.160 --> 27:31.160]  she told us that you were the mayor's spokesman on this.
[27:31.160 --> 27:35.160]  Can you tell us exactly why the mayor used such strong language
[27:35.160 --> 27:37.160]  and called them dishonest?
[27:37.160 --> 27:39.160]  Well, I think that there were various approaches.
[27:39.160 --> 27:42.160]  For example, when I originally said no several weeks ago,
[27:42.160 --> 27:44.160]  by the fact, a couple of months ago,
[27:44.160 --> 27:48.160]  but no was never no, and then no was never no.
[27:48.160 --> 27:51.160]  End of runs were done around to various community leaders.
[27:51.160 --> 27:55.160]  Excuse me, sir, you're saying that they ignored the police chief
[27:55.160 --> 27:58.160]  and under our constitution, you're the same as the sheriff
[27:58.160 --> 28:00.160]  and you won the city or the county.
[28:00.160 --> 28:04.160]  You're telling me that Delta Force was ignoring your order?
[28:04.160 --> 28:06.160]  Well, I don't want to say they ignored it,
[28:06.160 --> 28:08.160]  but around about way yes, because what they would do,
[28:08.160 --> 28:12.160]  once I said no, they went to various individuals in the community
[28:12.160 --> 28:15.160]  to bring pressure to bear to get me to change my mind.
[28:15.160 --> 28:19.160]  For example, there was a community leader who I have a great deal of respect for
[28:19.160 --> 28:21.160]  and we have a very good relationship that they went to.
[28:21.160 --> 28:23.160]  I get a call from him and he says,
[28:23.160 --> 28:26.160]  chief, there's some people in here that they're in town
[28:26.160 --> 28:29.160]  and was part of their role here, didn't say who it was.
[28:29.160 --> 28:31.160]  They need to meet with the mayor and the police chief.
[28:31.160 --> 28:34.160]  Well, of course, this gentleman, I've worked very closely with him
[28:34.160 --> 28:35.160]  on a number of projects.
[28:35.160 --> 28:37.160]  I said, sure, haven't give me a call.
[28:37.160 --> 28:39.160]  I already said no.
[28:39.160 --> 28:41.160]  Well, then I find out it's the same group.
[28:41.160 --> 28:46.160]  So they identified somebody apparently that I know that's very high in the community
[28:46.160 --> 28:49.160]  to make an approach to me and get me to change my mind.
[28:49.160 --> 28:52.160]  Well, then when we said no,
[28:52.160 --> 28:56.160]  then some elected officials were contacted to bring pressure to bear.
[28:56.160 --> 29:01.160]  And then offers were made to give money, cash money
[29:01.160 --> 29:06.160]  to elected officials' charities if they could get us to change our minds.
[29:06.160 --> 29:08.160]  I mean, you know, as one of my deputy chiefs said,
[29:08.160 --> 29:10.160]  in some circles that's called bribery.
[29:10.160 --> 29:13.160]  Well, it is called bribery, but more importantly,
[29:13.160 --> 29:17.160]  it's called manipulation of the constitutional system
[29:17.160 --> 29:19.160]  and the takeover of local police departments.
[29:19.160 --> 29:23.160]  You talked about a memo from Delta Force?
[29:23.160 --> 29:28.160]  Yeah, because what happened is various elected officials were being contacted.
[29:28.160 --> 29:31.160]  I have 10 city council members and a mayor,
[29:31.160 --> 29:34.160]  and I just wanted to alert them as to what was happening,
[29:34.160 --> 29:38.160]  that these situations were occurring,
[29:38.160 --> 29:41.160]  that they might be contacted by these individuals
[29:41.160 --> 29:44.160]  and that in the best interest of public safety.
[29:44.160 --> 29:46.160]  And that's what I continue to fall back on.
[29:46.160 --> 29:51.160]  We didn't feel that it was in the best interest of the citizens of San Antonio to do that type of thing.
[29:51.160 --> 29:56.160]  All I can say is that, you know, no just never seemed to be no.
[29:56.160 --> 30:00.160]  And even after they told us, we don't need you,
[30:00.160 --> 30:05.160]  we're still going to do our training exercise at other locations in and around the San Antonio,
[30:05.160 --> 30:08.160]  we're still not doing here.
[30:08.160 --> 30:10.160]  Next time, I'm still getting contacted by various officials.
[30:10.160 --> 30:12.160]  I mean, they never would take no for an answer.
[30:12.160 --> 30:14.160]  So they weren't respecting your jurisdiction?
[30:14.160 --> 30:17.160]  They were not respecting our jurisdiction.
[30:17.160 --> 30:25.160]  I don't think they respected our decision to go into predominantly minority areas of the city
[30:25.160 --> 30:27.160]  where we had vacant warehouses and buildings
[30:27.160 --> 30:31.160]  and try to do those types of exercises at those locations in the middle of the night.
[30:31.160 --> 30:33.160]  What type of exercise? Oh, I'm sorry, middle of the night?
[30:33.160 --> 30:36.160]  You know, sometime between 9 p.m. and midnight.
[30:36.160 --> 30:38.160]  You know, I mean, people become frightened.
[30:38.160 --> 30:43.160]  And we do a lot of our decision making on experiences that have happened in a lot of other cities.
[30:43.160 --> 30:46.160]  We were very concerned with some things that have happened over there.
[30:46.160 --> 30:48.160]  We didn't get any real good, clear answers.
[30:48.160 --> 30:50.160]  So that being secretive about it?
[30:50.160 --> 30:51.160]  Very secretive.
[30:51.160 --> 30:56.160]  And you kind of, the city and the mayor and yourself as the police chief,
[30:56.160 --> 31:01.160]  you kind of felt that it was a little odd that they wouldn't trust y'all.
[31:01.160 --> 31:03.160]  I mean, y'all are the authorities here?
[31:03.160 --> 31:04.160]  A little odd.
[31:04.160 --> 31:08.160]  And once I made contact with my peers in some of the other major cities
[31:08.160 --> 31:11.160]  and they shared with me some of their experiences over there,
[31:11.160 --> 31:14.160]  the decision really was very easy.
[31:14.160 --> 31:17.160]  My interest as police chief is the citizens of the city, period.
[31:17.160 --> 31:18.160]  Yes, sir.
[31:18.160 --> 31:21.160]  And I was not about to jeopardize the safety
[31:21.160 --> 31:27.160]  under the exercise of this magnitude under any circumstance.
[31:27.160 --> 31:29.160]  Well, you can't say it any better than that.
[31:29.160 --> 31:32.160]  This isn't some wild conspiracy theorist.
[31:32.160 --> 31:37.160]  This is Alphalepus, head police chief in San Antonio, Texas.
[31:37.160 --> 31:40.160]  Oh, and the mayor too, Howard Peake.
[31:40.160 --> 31:43.160]  He says that it's dangerous and that they're dishonest.
[31:43.160 --> 31:48.160]  I know that they wanted to use some explosives for entry into some of these buildings,
[31:48.160 --> 31:53.160]  some of the so-called ceramic bullets, which would be fired into little traps,
[31:53.160 --> 31:55.160]  which were supposed to catch those, which would disintegrate,
[31:55.160 --> 31:59.160]  supposedly on contact, but I know that in one city, American city,
[31:59.160 --> 32:03.160]  that one of those bullets got a stray and going through a window
[32:03.160 --> 32:05.160]  and down almost into a restaurant.
[32:05.160 --> 32:07.160]  So things can go wrong.
[32:07.160 --> 32:08.160]  What city was that?
[32:08.160 --> 32:10.160]  I believe that it was in Miami.
[32:10.160 --> 32:11.160]  That's incredible.
[32:11.160 --> 32:15.160]  So basically right now, as it stands,
[32:15.160 --> 32:19.160]  until they actually confer with y'all better or change their plans,
[32:19.160 --> 32:21.160]  they're not really welcome to train here in San Antonio?
[32:21.160 --> 32:25.160]  We are not going to support any of their operations.
[32:25.160 --> 32:29.160]  They may do something at the various military bases here in San Antonio.
[32:29.160 --> 32:31.160]  That certainly is their jurisdiction,
[32:31.160 --> 32:34.160]  but we will not support any operations in the city limits.
[32:34.160 --> 32:40.160]  We really count on law enforcement officials locally like y'all to protect the people
[32:40.160 --> 32:43.160]  and uphold the law, and again, I just want to commend you
[32:43.160 --> 32:51.160]  for recognizing some of the behavior of the Delta Force and expelling them.
[32:51.160 --> 32:53.160]  Well, I appreciate that.
[32:53.160 --> 32:57.160]  Again, the decision really was not that difficult.
[32:57.160 --> 32:59.160]  We have the interest of the citizens of San Antonio.
[32:59.160 --> 33:01.160]  This is a military city.
[33:01.160 --> 33:04.160]  We have a tremendous amount of respect for the military and what they do,
[33:04.160 --> 33:08.160]  but I do not have any respect for the tactics that were used
[33:08.160 --> 33:10.160]  by the advanced team coming in here.
[33:10.160 --> 33:12.160]  You're saying that they were disrespectful?
[33:12.160 --> 33:17.160]  They were courteous and friendly to us, to our faces,
[33:17.160 --> 33:22.160]  but again, when you make a decision, you try to get information to go around
[33:22.160 --> 33:26.160]  and try to put influence on you from pressure groups and individuals,
[33:26.160 --> 33:29.160]  either elected or in the community.
[33:29.160 --> 33:34.160]  The interview you just saw was conducted in mid-May of 1998.
[33:34.160 --> 33:37.160]  Delta Force did visit San Antonio.
[33:37.160 --> 33:44.160]  Later the next year, during Operation Last Dance, held February 8th through February 20th.
[33:44.160 --> 33:50.160]  They also smashed into Kingsville, Port Aransas, Alice, Texas, Corpus Christi.
[33:50.160 --> 33:53.160]  That's right, ladies and gentlemen, and other towns.
[33:53.160 --> 33:55.160]  This is absolutely out of control.
[33:55.160 --> 33:59.160]  We're about to go through this story in sequential order.
[33:59.160 --> 34:03.160]  In some cases, especially in the case of Port Aransas,
[34:03.160 --> 34:09.160]  the local authorities were not even warned before massive military training,
[34:09.160 --> 34:13.160]  if you can call it that, was engaged in, right here in America.
[34:13.160 --> 34:17.160]  It is clear psychological warfare against the police, the public,
[34:17.160 --> 34:23.160]  and everyone else in this nation conditioning us to accept a militarized police state.
[34:23.160 --> 34:27.160]  It's basic terrorism, and I'm sad to say that about our military,
[34:27.160 --> 34:31.160]  but I forgot it's Bill Clinton's military, isn't it?
[34:31.160 --> 34:35.160]  We can only imagine what's coming in the future with other administrations.
[34:35.160 --> 34:38.160]  This is a evil precedent that has been set.
[34:47.160 --> 34:51.160]  On the night of February 8th, 1999, right after my radio show,
[34:51.160 --> 34:57.160]  I got the word that Delta Force had smashed into the first of six towns, Kingsville, Texas.
[34:57.160 --> 35:01.160]  We got in the car, drove through the night to the south Texas coast,
[35:01.160 --> 35:04.160]  right in the middle of Texas oil country.
[35:04.160 --> 35:08.160]  It was incredibly surreal. Shades of Blade Runner.
[35:16.160 --> 35:19.160]  Boy, we can still smell the fire.
[35:19.160 --> 35:25.160]  You fixing this area where it burned through?
[35:25.160 --> 35:29.160]  Hey, how you doing? Alex Jones from Austin, Texas.
[35:29.160 --> 35:31.160]  I got a radio show and a little TV show. What's your name?
[35:31.160 --> 35:34.160]  Jerry McQueen. Jerry McQueen? Yes, sir.
[35:34.160 --> 35:37.160]  So you're fixing the fire damage here?
[35:37.160 --> 35:40.160]  Yes, sir, boarding up the windows and doors.
[35:40.160 --> 35:42.160]  So you're boarding up the windows and doors? Yes, sir.
[35:42.160 --> 35:46.160]  From Army Special Operations Command's work? Yes, sir.
[35:46.160 --> 35:51.160]  Securing it? So that way, no vandalism or anything?
[35:51.160 --> 35:55.160]  You're securing it, so no vandalism.
[35:55.160 --> 35:57.160]  Well, they still care things up.
[35:57.160 --> 35:59.160]  Oh, I understand. No, no, we appreciate what you're doing.
[35:59.160 --> 36:02.160]  Just a few more questions. If you have the time, honestly, you're busy.
[36:02.160 --> 36:05.160]  Did you actually see Army Special Operations Delta Force?
[36:05.160 --> 36:08.160]  I seen some of it. That was it.
[36:08.160 --> 36:10.160]  What color were their uniforms?
[36:10.160 --> 36:13.160]  I don't recall. It was dark and from a distance.
[36:13.160 --> 36:16.160]  From a distance you really couldn't make out their black uniforms very closely?
[36:16.160 --> 36:19.160]  Yeah, it's kind of hard.
[36:19.160 --> 36:22.160]  All different types of helicopters or just mainly one type?
[36:22.160 --> 36:24.160]  Mainly one type that I'd seen.
[36:24.160 --> 36:27.160]  Was that Black Hawk? I'm not sure. I don't know.
[36:27.160 --> 36:29.160]  Larger helicopters?
[36:29.160 --> 36:31.160]  Medium size, I'd say.
[36:31.160 --> 36:34.160]  Medium size.
[36:34.160 --> 36:39.160]  Were the police working with them in these exercises?
[36:39.160 --> 36:41.160]  They had the streets blocked off.
[36:41.160 --> 36:46.160]  Basically, this is a brick building, so the flammable things burned.
[36:46.160 --> 36:49.160]  Yes, just like wood and things like that, I guess.
[36:49.160 --> 36:52.160]  So basically this building is burned out on the inside?
[36:52.160 --> 36:54.160]  Yeah, basically.
[36:54.160 --> 36:58.160]  So it's just things that are charcoal on the inside.
[36:58.160 --> 37:05.160]  Did the military come around here afterwards and clean up all the shell casings and things?
[37:05.160 --> 37:09.160]  Pretty sure they did.
[37:09.160 --> 37:12.160]  Did you hear weapons fire?
[37:12.160 --> 37:14.160]  Yes, we heard machine guns.
[37:14.160 --> 37:16.160]  Or we heard weapons.
[37:16.160 --> 37:18.160]  You heard machine guns and explosions?
[37:18.160 --> 37:20.160]  Yeah, there's explosions.
[37:20.160 --> 37:22.160]  Could you see the explosions or just hear them?
[37:22.160 --> 37:24.160]  You can just hear them.
[37:24.160 --> 37:26.160]  Can you, I know...
[37:26.160 --> 37:27.160]  Oh, yes, sir.
[37:27.160 --> 37:28.160]  We're back to work here.
[37:28.160 --> 37:29.160]  Yes, sir, thanks for your time.
[37:29.160 --> 37:31.160]  All right.
[37:31.160 --> 37:37.160]  Keith, you go around and sign while I keep it diverted and I'll get us some of the fire damage footage.
[37:37.160 --> 37:39.160]  Here it is, sir.
[37:39.160 --> 37:44.160]  Well, you're looking at the upper floor, and our cameraman's a little bit nervous, as you can see,
[37:44.160 --> 37:48.160]  of the Kingsville Police Department's detectives building.
[37:48.160 --> 37:49.160]  Supposedly deserted.
[37:49.160 --> 37:53.160]  We'll go downstairs in just a little while and show you the damage there,
[37:53.160 --> 37:59.160]  and then we'll go interview some folks around the town from just average citizens to officials.
[37:59.160 --> 38:02.160]  Again, why are they practicing taking over police stations?
[38:02.160 --> 38:05.160]  In Kingsville, they did warn some of the officials.
[38:05.160 --> 38:08.160]  In Port Aransas, they did not.
[38:08.160 --> 38:11.160]  Again, we ought to just think about that for a second.
[38:11.160 --> 38:19.160]  Why are they engaging in this behavior to condition the police, as well as the general citizenry,
[38:19.160 --> 38:28.160]  completely burnt out on the second floor of the Kingsville Police Department detectives building?
[38:28.160 --> 38:47.160]  Well, here we have it.
[38:47.160 --> 38:50.160]  They've blown open the door and the ransacking.
[38:50.160 --> 38:56.160]  They've come in and pulled out all the fire damage and put up new plywood over there, as you can see.
[38:56.160 --> 39:03.160]  That's where they came through the windows.
[39:03.160 --> 39:10.160]  Well, here we go for the mark, for the fire damage they've pulled out.
[39:10.160 --> 39:18.160]  Notice the workmen repainting the supposedly abandoned Kingsville Police Department.
[39:18.160 --> 39:22.160]  That doesn't make much sense to me, but again, who knows?
[39:22.160 --> 39:31.160]  I am a conspiracy theorist, but why was it still fully furnished with leather chairs and file cabinets and desk
[39:31.160 --> 39:34.160]  and computer screens and phone systems?
[39:34.160 --> 39:37.160]  You never know. I'm still trying to figure that out.
[39:37.160 --> 39:44.160]  Perhaps they wanted everything left intact so their training and their psychological test would be pulled off a little bit.
[39:44.160 --> 39:47.160]  A little bit cleaner and smoother.
[39:47.160 --> 39:49.160]  Again, you decide.
[39:49.160 --> 39:57.160]  See y'all are just painting over the black burn marks.
[39:57.160 --> 40:05.160]  Delta Force munitions, a solid ceramic slug used to blast open doors.
[40:05.160 --> 40:08.160]  So the jackbooted dogs don't even have to hurt their feet anymore.
[40:08.160 --> 40:10.160]  They just got these.
[40:10.160 --> 40:11.160]  Juan Garcia.
[40:11.160 --> 40:15.160]  Juan, what's your position here in the city of Kingsville?
[40:15.160 --> 40:17.160]  Well, I work for Malby Construction.
[40:17.160 --> 40:20.160]  So y'all are just contracted out for the setting to repair?
[40:20.160 --> 40:25.160]  Secure the buildings. That's all. This building and the Exxon building.
[40:25.160 --> 40:29.160]  And that's basically that's it. I mean, that's our only job.
[40:29.160 --> 40:35.160]  So now y'all are here just to secure and put the windows back in and kind of tear out some of the fire damage and things
[40:35.160 --> 40:39.160]  that were caused here to the police station?
[40:39.160 --> 40:42.160]  Yeah, like I said, we were waiting to seal off the building.
[40:42.160 --> 40:50.160]  So that's all they told us. Basically they told us we were going to be sealing off a building late at night.
[40:50.160 --> 40:51.160]  And that's all.
[40:51.160 --> 40:53.160]  After it was broken into.
[40:53.160 --> 40:56.160]  Did you see what happened?
[40:56.160 --> 41:00.160]  We saw we heard gunfire and small explosions and stuff.
[41:00.160 --> 41:04.160]  But actually what happened though, the helicopters zooming around.
[41:04.160 --> 41:07.160]  Can you tell us what you saw and heard?
[41:07.160 --> 41:13.160]  Basically what I saw was just helicopters flying around and gunfire and explosions.
[41:13.160 --> 41:16.160]  But the police were all there and they told us don't be calm.
[41:16.160 --> 41:18.160]  This is just an exercise.
[41:18.160 --> 41:22.160]  Just be calm and were the police working with the military?
[41:22.160 --> 41:25.160]  Yes, sir, they were. As far as I know.
[41:25.160 --> 41:30.160]  I mean, because they sealed off the streets and pretty much in a hurry.
[41:30.160 --> 41:32.160]  Have y'all fixed any bullet holes inside?
[41:32.160 --> 41:36.160]  No, sir. We're not doing it. All we're doing is the exterior of the building.
[41:36.160 --> 41:38.160]  Was there bullet holes inside?
[41:38.160 --> 41:41.160]  Yeah, we saw some.
[41:41.160 --> 41:46.160]  You couldn't hear very much because there was a lot of noise, choppers and stuff.
[41:46.160 --> 41:48.160]  How many choppers?
[41:48.160 --> 41:55.160]  I can't recall. I would say like six. I didn't count them. There were small ones and big ones.
[41:55.160 --> 42:00.160]  Oh, small ones and big ones. We were told there were actually some attack Apache type aircraft.
[42:00.160 --> 42:05.160]  And then also some Blackhawks in support that were actually delivering the troops.
[42:05.160 --> 42:08.160]  I guess, I mean, like I said, I don't know the difference between the helicopters,
[42:08.160 --> 42:12.160]  but there were several big ones and some small ones and stuff.
[42:12.160 --> 42:18.160]  So you saw several big ones and some small ones. Can you try to give us a ballpark figure?
[42:18.160 --> 42:23.160]  I would say five, six. Somewhere on there.
[42:23.160 --> 42:26.160]  So two or three small ones and two or three big ones?
[42:26.160 --> 42:29.160]  Yeah, there wasn't very many big ones. I think there was only like two big ones.
[42:29.160 --> 42:31.160]  And then the rest were just small.
[42:31.160 --> 42:34.160]  So two large helicopters and four small helicopters?
[42:34.160 --> 42:36.160]  Right. Just Black. Just Black.
[42:36.160 --> 42:37.160]  Black helicopters.
[42:37.160 --> 42:38.160]  Yes, sir.
[42:38.160 --> 42:40.160]  And you couldn't see any markings? Were there lights on the helicopters?
[42:40.160 --> 42:43.160]  No, sir. Not when I saw them. Not at all.
[42:43.160 --> 42:45.160]  And how low were they?
[42:45.160 --> 42:50.160]  Right above the buildings. You know, real low.
[42:50.160 --> 42:51.160]  Real low?
[42:51.160 --> 42:52.160]  Yeah.
[42:52.160 --> 42:53.160]  And that's incredibly dangerous.
[42:53.160 --> 42:54.160]  Your name?
[42:54.160 --> 42:55.160]  Gracie.
[42:55.160 --> 42:56.160]  Gracie?
[42:56.160 --> 42:57.160]  Uh-huh.
[42:57.160 --> 42:58.160]  Gracie, you live here in Kingsville?
[42:58.160 --> 43:02.160]  Yes, sir. I live in that building right there in Casa Ricardo.
[43:02.160 --> 43:05.160]  Wow. You live real close.
[43:05.160 --> 43:10.160]  Did you hear about the helicopter assaults on the old police station before it happened?
[43:10.160 --> 43:16.160]  No, no, no. Until that day, there were all these people over there and right there.
[43:16.160 --> 43:17.160]  I'm sorry.
[43:17.160 --> 43:18.160]  No, no.
[43:18.160 --> 43:22.160]  And all that time, you know, there'd be no, you know, surroundings like that.
[43:22.160 --> 43:26.160]  And basically, were you at home when you heard the explosions?
[43:26.160 --> 43:30.160]  Well, for a matter of fact, I have gone for a walk.
[43:30.160 --> 43:32.160]  And I sit and then when I got here...
[43:32.160 --> 43:34.160]  It's a poor thing. You were actually out here.
[43:34.160 --> 43:38.160]  I sit on the bench and then I got scared because, you know, because of the noise.
[43:38.160 --> 43:41.160]  It was so terrible and too loud, you know.
[43:41.160 --> 43:43.160]  What'd you see? What'd you hear?
[43:43.160 --> 43:49.160]  Well, there were throwing some bombs, you know, bombing.
[43:49.160 --> 43:50.160]  Right?
[43:50.160 --> 43:51.160]  Yeah. And some...
[43:51.160 --> 43:53.160]  I think they were using some rifles, too.
[43:53.160 --> 43:57.160]  And the other kind of rifles, you know, the one, you know, stuff like that.
[43:57.160 --> 44:09.160]  Ladies and gentlemen, Gracie lives in Casa Ricardo, approximately 250 feet from the Kingsville Detectives Building, the police department.
[44:09.160 --> 44:14.160]  Casa Ricardo is a nursing home, an old folks home.
[44:14.160 --> 44:21.160]  This lady's out for a walk and suddenly black helicopters, men in uniforms running around firing automatic weapons.
[44:21.160 --> 44:27.160]  Now, tell me, that is not pure insanity and total disregard for the public safety.
[44:27.160 --> 44:29.160]  Let's continue with the interview.
[44:29.160 --> 44:37.160]  Just, you know, going back and forth and doing the same thing, you know, but I just couldn't see anything else because I was so scared.
[44:37.160 --> 44:39.160]  I went back to my apartment and, you know...
[44:39.160 --> 44:41.160]  So, you were out walking and you actually...
[44:41.160 --> 44:46.160]  Well, I think you started when I got from my walk. I'm not really too sure.
[44:46.160 --> 44:47.160]  What'd you see in here again?
[44:47.160 --> 44:48.160]  Uh-huh.
[44:48.160 --> 44:51.160]  You were saying...
[44:51.160 --> 44:58.160]  I went back to my apartment because I was so scared and I got out of it from there because I could still hear the noise, you know.
[44:58.160 --> 45:00.160]  It was too loud and too fast.
[45:00.160 --> 45:01.160]  Make the noise, guys.
[45:01.160 --> 45:02.160]  How about about about an hour?
[45:02.160 --> 45:04.160]  Yeah, of everything, you know.
[45:04.160 --> 45:06.160]  I think they were doing everything at the same time.
[45:06.160 --> 45:10.160]  Explosions and firing and everything at the same time.
[45:10.160 --> 45:14.160]  And then I saw one getting down from a parachute and away over there.
[45:14.160 --> 45:15.160]  You're kidding.
[45:15.160 --> 45:17.160]  Yes, I did.
[45:17.160 --> 45:19.160]  What kind of uniforms were they?
[45:19.160 --> 45:21.160]  I couldn't barely tell.
[45:21.160 --> 45:23.160]  You couldn't really see them in the dark?
[45:23.160 --> 45:25.160]  Yeah, yeah, it was dark, so it was no...
[45:25.160 --> 45:27.160]  Well, maybe it's, you know...
[45:27.160 --> 45:28.160]  Black uniforms?
[45:28.160 --> 45:30.160]  Or green or something like that, you know.
[45:30.160 --> 45:32.160]  Like the ones that...
[45:32.160 --> 45:36.160]  Do you have the men from the National Garden?
[45:36.160 --> 45:38.160]  I think they're the same.
[45:38.160 --> 45:45.160]  I couldn't barely tell and I couldn't barely tell if there was wearing, you know, something like that, like his or I really couldn't tell.
[45:45.160 --> 45:46.160]  But I saw one.
[45:46.160 --> 45:48.160]  What about the helicopters?
[45:48.160 --> 45:51.160]  Well, the helicopters, I don't know.
[45:51.160 --> 45:55.160]  I haven't seen them, you know, so close.
[45:55.160 --> 45:58.160]  They were so big and, you know...
[45:58.160 --> 45:59.160]  They looked like...
[45:59.160 --> 46:01.160]  Well, they looked like blacks.
[46:01.160 --> 46:02.160]  I couldn't barely tell.
[46:02.160 --> 46:03.160]  Maybe they were black.
[46:03.160 --> 46:04.160]  I don't know.
[46:04.160 --> 46:06.160]  No flashing lights on them or anything?
[46:06.160 --> 46:08.160]  I'm afraid they weren't.
[46:08.160 --> 46:09.160]  Between...
[46:09.160 --> 46:13.160]  It was seven to nine in the evening.
[46:13.160 --> 46:14.160]  Seven to nine.
[46:14.160 --> 46:16.160]  And it's also, it was a fire.
[46:16.160 --> 46:17.160]  I don't know where.
[46:17.160 --> 46:19.160]  I think it was in that building.
[46:19.160 --> 46:20.160]  They've all painted over it.
[46:20.160 --> 46:21.160]  Yeah.
[46:21.160 --> 46:23.160]  Wasn't it all black this morning?
[46:23.160 --> 46:27.160]  Yeah, you know, these days like that, I think they fixed it up.
[46:27.160 --> 46:33.160]  But I couldn't tell if it was, you know, right there or over there.
[46:33.160 --> 46:34.160]  So I guess...
[46:34.160 --> 46:35.160]  Now, wait, wait.
[46:35.160 --> 46:37.160]  You said you saw somebody with a parachute.
[46:37.160 --> 46:39.160]  Can you point the direction where you saw the guy in the parachute?
[46:39.160 --> 46:43.160]  Well, let's see...
[46:43.160 --> 46:46.160]  Like near the fence, way over there.
[46:46.160 --> 46:47.160]  Way a couple hundred yards over there?
[46:47.160 --> 46:48.160]  Yeah.
[46:48.160 --> 46:50.160]  And when they're coming down from ropes or actual parachutes?
[46:50.160 --> 46:52.160]  Well, I couldn't barely tell.
[46:52.160 --> 46:53.160]  They were just coming out of the sky in the dark.
[46:53.160 --> 46:55.160]  I couldn't tell if it was a parachute or if it was a rope.
[46:55.160 --> 46:57.160]  I just saw him, you know, getting down.
[46:57.160 --> 46:58.160]  That's all.
[46:58.160 --> 47:00.160]  That is just absolutely incredible.
[47:00.160 --> 47:02.160]  How long did it last?
[47:02.160 --> 47:05.160]  Oh, I don't know.
[47:05.160 --> 47:10.160]  You mean when they, you know, you mean when they finished the end?
[47:10.160 --> 47:11.160]  I'm not sure.
[47:11.160 --> 47:13.160]  It's like I said, it was 7 to 9.
[47:13.160 --> 47:15.160]  That's what they told me there.
[47:15.160 --> 47:17.160]  I'm not sure.
[47:17.160 --> 47:19.160]  And so it went on for several hours?
[47:19.160 --> 47:20.160]  Yeah, I'm afraid so.
[47:20.160 --> 47:21.160]  The gunfire and all the rest of it?
[47:21.160 --> 47:22.160]  Yeah.
[47:22.160 --> 47:24.160]  Well, they had trouble with their imaginary enemy, didn't they?
[47:24.160 --> 47:25.160]  I guess.
[47:25.160 --> 47:27.160]  Must have been many different teams.
[47:27.160 --> 47:31.160]  There were using so many things that I couldn't barely tell what they were.
[47:31.160 --> 47:34.160]  So there were explosions and rapid gunfire?
[47:34.160 --> 47:35.160]  Uh-huh.
[47:35.160 --> 47:38.160]  And they also stuffed them the top of the building right there?
[47:38.160 --> 47:39.160]  Which one?
[47:39.160 --> 47:41.160]  That one right there, you know?
[47:41.160 --> 47:43.160]  You're talking about the old Exxon building?
[47:43.160 --> 47:45.160]  Yeah, that one right here.
[47:45.160 --> 47:47.160]  They blew out almost every window of that building?
[47:47.160 --> 47:48.160]  Yeah, that's what I...
[47:48.160 --> 47:50.160]  We heard that large helicopters landed on the top?
[47:50.160 --> 47:51.160]  Yes.
[47:51.160 --> 47:53.160]  Mostly all of them, I think.
[47:53.160 --> 47:57.160]  They stopped right there in that building on the top.
[47:57.160 --> 47:59.160]  They just landed on top of the building?
[47:59.160 --> 48:01.160]  Yeah, and then they got away.
[48:01.160 --> 48:03.160]  They flew away.
[48:03.160 --> 48:08.160]  And I also saw a lot of men, you know, I think they were going up and those things, you know.
[48:08.160 --> 48:10.160]  What about the police?
[48:10.160 --> 48:13.160]  Well, the police, I don't know about them.
[48:13.160 --> 48:14.160]  I don't know what they did.
[48:14.160 --> 48:17.160]  They were just taking care of the area, that's all.
[48:17.160 --> 48:19.160]  While the Delta Force did their work?
[48:19.160 --> 48:25.160]  They were standing right there, and I went over there, and over here, there were a whole bunch of them.
[48:25.160 --> 48:26.160]  I think there were...
[48:26.160 --> 48:29.160]  Did you appreciate not being warned and suddenly having black helicopters swarming?
[48:29.160 --> 48:30.160]  No.
[48:30.160 --> 48:32.160]  You didn't enjoy that?
[48:32.160 --> 48:43.160]  No, no, not really, because, you know, I was thinking myself that they should be, you know, have done that here because it's dangerous, you know.
[48:43.160 --> 48:44.160]  Well, you know what they're doing.
[48:44.160 --> 48:49.160]  They want to do this to citizens in the future, martial law, and I don't want to scare you as being prepared in this country.
[48:49.160 --> 48:55.160]  And what they're trying to do is, have you ever noticed how if you get somebody into something a little bit at a time, they're ready to accept it?
[48:55.160 --> 49:01.160]  They're easing America in to where people are used to seeing black helicopters flying over and explosions.
[49:01.160 --> 49:05.160]  I don't know, I don't know what to say about that.
[49:05.160 --> 49:07.160]  Well, I'm not trying to scare you, they're not coming after you.
[49:07.160 --> 49:08.160]  Yeah, that's right.
[49:08.160 --> 49:09.160]  Don't worry, they're coming after me.
[49:09.160 --> 49:10.160]  Even though they are, maybe the others, they are.
[49:10.160 --> 49:13.160]  They said a war coward is coming this way, so I don't know.
[49:13.160 --> 49:19.160]  Maybe, you know, they just wanted us to know, to see how, you know, how they fight in the war.
